                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.73339,                 6.0154,                0.60476,                0.51313,                0.88548,                0.89154,                0.93412,                0.94743,                0.73933,                0.22341,                0.15909,                0.08632,                0.01172,                0.80922,                 6.6821,                0.60341,                 1.0417,                0.92355,              0.0015777,              0.0015777,              0.0015777
                     48,                0.71046,                  6.085,                0.61803,                0.49381,                0.89019,                0.98762,                0.90909,                 0.9736,                0.77966,                0.09522,                0.06818,                0.00782,                 0.0014,                0.79081,                  6.575,                0.60331,                 1.1189,                 0.9211,              0.0016053,              0.0016053,              0.0016053
                     49,                0.69817,                 5.5897,                0.59489,                 0.4879,                0.88231,                0.42665,                      1,                0.59528,                0.48294,                0.04064,                0.09091,                 0.0051,                0.00069,                0.83172,                 6.7754,                0.60212,                 2.4928,                0.92666,              0.0016327,              0.0016327,              0.0016327
                     50,                0.80744,                 5.8873,                0.61553,                0.53009,                0.88887,                0.49765,                0.72727,                0.60275,                0.48627,                0.08487,                0.11364,                 0.0834,                0.01313,                0.78532,                 7.2521,                0.60372,                  3.289,                0.91952,              0.0016598,              0.0016598,              0.0016598
                     51,                0.73683,                 5.8589,                0.60477,                  0.507,                0.88324,                 0.4924,                0.92603,                0.77813,                0.61358,                0.09579,                0.13636,                 0.0248,                0.00503,                0.85029,                 6.7151,                0.60028,                 2.2998,                 0.9774,                0.00167,                0.00167,                0.00167
                     52,                0.69741,                 5.6976,                0.59114,                0.48131,                0.88293,                0.98368,                0.70455,                0.82775,                0.66856,                0.04797,                0.04545,                0.01454,                0.00161,                0.89735,                 7.3638,                0.60552,                 2.2115,                 0.9608,                0.00167,                0.00167,                0.00167
                     53,                0.76402,                 5.5377,                0.59767,                 0.5004,                0.90231,                0.98139,                0.65909,                 0.8565,                0.68848,                0.17051,                0.11364,                0.03751,                0.00848,                0.84105,                 6.9646,                0.59814,                  2.625,                0.94298,              0.0016634,              0.0016634,              0.0016634
                     54,                0.70411,                 5.4299,                0.59367,                0.49644,                0.87914,                0.86981,                0.91111,                0.95536,                0.75212,                0.03527,                0.02273,                 0.0026,                0.00043,                 0.8351,                 7.6193,                0.59742,                 1.4662,                0.95168,              0.0016568,              0.0016568,              0.0016568
                     55,                0.69861,                 5.3878,                0.60544,                0.49884,                0.87588,                 0.9023,                0.84091,                0.94156,                0.71799,                0.17602,                0.11364,                0.02911,                0.01459,                0.88174,                 7.0467,                0.59981,                 1.0983,                0.95009,              0.0016502,              0.0016502,              0.0016502
                     56,                0.73555,                 5.1258,                0.61952,                0.50242,                0.88447,                0.89669,                0.90909,                0.96943,                0.77136,                0.14393,                0.11364,                0.04467,                0.00895,                0.84198,                   6.98,                0.60814,                 1.0814,                0.93571,              0.0016436,              0.0016436,              0.0016436
