                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.63798,                 2.8044,                0.55329,                 0.4161,                0.86754,                0.99294,                0.93902,                0.94045,                0.80585,                0.92649,                0.85976,                0.85113,                0.38124,                0.64393,                 2.5585,                 0.5738,                0.40012,                0.83357,              0.0015974,              0.0015974,              0.0015974
                     64,                0.63869,                 2.8255,                0.54011,                0.40835,                 0.8526,                0.99923,                0.92073,                0.94152,                0.82303,                0.91982,                0.84756,                0.86091,                0.41241,                0.59846,                 2.7108,                 0.5795,                0.39985,                0.82811,              0.0015908,              0.0015908,              0.0015908
                     65,                0.62745,                  2.848,                 0.5445,                0.39985,                0.86198,                0.99791,                0.92683,                0.94503,                 0.8171,                0.93398,                0.86585,                0.86776,                0.41306,                0.61011,                 2.4962,                0.58054,                 0.3858,                0.83603,              0.0015842,              0.0015842,              0.0015842
                     66,                0.64745,                 2.8074,                0.53208,                0.40875,                0.87832,                0.99967,                0.93293,                0.93839,                0.82504,                0.94641,                0.87805,                0.87535,                0.42891,                0.59075,                  2.496,                0.57499,                0.39976,                0.82786,              0.0015776,              0.0015776,              0.0015776
                     67,                0.64825,                 2.9059,                0.53449,                0.40796,                0.86851,                 0.9993,                0.91463,                0.94038,                0.80958,                0.92803,                0.86486,                 0.8632,                0.38124,                 0.5945,                 2.6173,                0.56466,                0.41816,                0.82995,               0.001571,               0.001571,               0.001571
                     68,                0.62269,                 2.8112,                0.53389,                0.40412,                0.86148,                0.99266,                0.93293,                0.94205,                0.82478,                 0.9329,                0.85976,                0.85482,                0.40306,                0.57905,                 2.6014,                0.56136,                0.38076,                0.82615,              0.0015644,              0.0015644,              0.0015644
                     69,                0.63342,                 2.8888,                0.54857,                0.40514,                0.86178,                0.99346,                0.92666,                0.94944,                0.82385,                 0.9281,                0.86575,                0.87098,                0.43809,                0.63469,                 2.4441,                0.56164,                0.39769,                0.83029,              0.0015578,              0.0015578,              0.0015578
                     70,                0.60684,                 2.6767,                0.52586,                0.39262,                0.84384,                0.99095,                0.92073,                0.93738,                0.82188,                 0.9408,                0.87805,                0.87338,                0.42139,                0.61506,                 2.5356,                0.55352,                0.39822,                0.83036,              0.0015512,              0.0015512,              0.0015512
                     71,                0.63093,                  2.743,                0.52733,                0.40546,                0.85407,                0.99346,                0.92605,                0.93484,                0.79882,                0.91343,                0.84756,                0.84678,                0.38387,                0.62765,                 2.5968,                0.55313,                0.42319,                0.83553,              0.0015446,              0.0015446,              0.0015446
                     72,                0.64233,                 2.9252,                0.53053,                0.41346,                0.87475,                0.99309,                0.93293,                0.94036,                0.79829,                0.92273,                0.85976,                 0.8477,                0.40353,                0.61805,                 2.5677,                0.54982,                0.40443,                0.82551,               0.001538,               0.001538,               0.001538
